Country,Page,Range,Type,Provider
XK,1,381,proper,
XK,1,381,proper,
XK,1,38143XXXXXX,mobile,IPKO Telecommunications LLC
XK,2,381432XXXXX,mobile,Dukagjini Telecommunications LLC (MVNO)
XK,1,38128XXXXX(X),geographic,Posta dhe Telekomi i Kosovës (PTK)
XK,2,381433XXXXX,mobile,Dukagjini Telecommunications LLC (MVNO)
XK,2,381434XXXXX,mobile,Dukagjini Telecommunications LLC (MVNO)
XK,2,38144XXXXXX,mobile,Post and Telecommunications of Kosovo (Vala)
XK,2,381455XXXXX,mobile,Dardafon.Net LLC (MVNO)
XK,2,381456XXXXX,mobile,Dardafon.Net LLC (MVNO)
XK,2,38145XXXXXX,mobile,Post and Telecommunications of Kosovo (Vala)
XK,2,3814710XXXX,mobile,MTS d.o.o.
XK,2,3814711XXXX,mobile,MTS d.o.o.
XK,2,3814712XXXX,mobile,MTS d.o.o.
XK,3,3814713XXXX,mobile,MTS d.o.o.
XK,3,3814714XXXX,mobile,MTS d.o.o.
XK,3,3814715XXXX,mobile,MTS d.o.o.
XK,3,38149XXXXXX,mobile,IPKO Telecommunications LLC
XK,1,381280XXXX(X),geographic,Posta dhe Telekomi i Kosovës (PTK)
XK,1,38129XXXXX(X),geographic,Posta dhe Telekomi i Kosovës (PTK)
XK,1,381290XXXX(X),geographic,Posta dhe Telekomi i Kosovës (PTK)
XK,1,38138XXXXX(XX),geographic,Posta dhe Telekomi i Kosovës (PTK)
XK,1,38139XXXXX(X),geographic,Posta dhe Telekomi i Kosovës (PTK)
XK,1,381390XXXXX,geographic,Posta dhe Telekomi i Kosovës (PTK)
